Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.48      1.05     0.01   173526     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >)
  0.00      1.05     0.00 16186943     0.00     0.00  Node::getVecNeighbours()
  0.00      1.05     0.00  6605103     0.00     0.00  Node::setisVisited(bool)
  0.00      1.05     0.00  5012234     0.00     0.00  Vec2::~Vec2()
  0.00      1.05     0.00  3358900     0.00     0.00  Node::setParent(Node*)
  0.00      1.05     0.00  3240500     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Node**>(Node**, Node**)
  0.00      1.05     0.00  3240500     0.00     0.00  void std::_Destroy<Node**>(Node**, Node**)
  0.00      1.05     0.00  3240500     0.00     0.00  void std::_Destroy<Node**, Node*>(Node**, Node**, std::allocator<Node*>&)
  0.00      1.05     0.00  1414392     0.00     0.00  Parking::getPos() const
  0.00      1.05     0.00  1393267     0.00     0.00  Voiture::getpathTab()
  0.00      1.05     0.00  1179174     0.00     0.00  std::vector<Voiture, std::allocator<Voiture> >::size() const
  0.00      1.05     0.00   944536     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::size() const
  0.00      1.05     0.00   943064     0.00     0.00  std::vector<Parking, std::allocator<Parking> >::size() const
  0.00      1.05     0.00   879336     0.00     0.00  Voiture::getPlace()
  0.00      1.05     0.00   824759     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::begin()
  0.00      1.05     0.00   694104     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator+(long) const
  0.00      1.05     0.00   694104     0.00     0.00  Node** std::__niter_base<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >)
  0.00      1.05     0.00   638937     0.00     0.00  Node::getisVisited()
  0.00      1.05     0.00   638937     0.00     0.00  bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&)
  0.00      1.05     0.00   548878     0.00     0.00  Parking::getDIMX() const
  0.00      1.05     0.00   481027     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::end()
  0.00      1.05     0.00   453300     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::end() const
  0.00      1.05     0.00   440706     0.00     0.00  Place::setIsTaken(bool)
  0.00      1.05     0.00   372308     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator++()
  0.00      1.05     0.00   359732     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::front()
  0.00      1.05     0.00   276288     0.00     0.00  Parking::getDIMY() const
  0.00      1.05     0.00   233952     0.00     0.00  Vec2::Vec2(float, float)
  0.00      1.05     0.00   224224     0.00     0.00  Voiture::setwidth(int)
  0.00      1.05     0.00   224224     0.00     0.00  Voiture::setheight(int)
  0.00      1.05     0.00   224196     0.00     0.00  Voiture::getParking()
  0.00      1.05     0.00   224196     0.00     0.00  Voiture::MoveToTargetPosition()
  0.00      1.05     0.00   224196     0.00     0.00  Voiture::getAngle()
  0.00      1.05     0.00   224196     0.00     0.00  Voiture::setIs_in(bool)
  0.00      1.05     0.00   221690     0.00     0.00  Voiture::setAngle(int)
  0.00      1.05     0.00   219315     0.00     0.00  Voiture::setParking(int)
  0.00      1.05     0.00   198736     0.00     0.00  Node::getisObstacle()
  0.00      1.05     0.00   176116     0.00     0.00  void __gnu_cxx::new_allocator<Node*>::destroy<Node*>(Node**)
  0.00      1.05     0.00   176116     0.00     0.00  void std::allocator_traits<std::allocator<Node*> >::destroy<Node*>(std::allocator<Node*>&, Node**)
  0.00      1.05     0.00   173526     0.00     0.00  __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&)
  0.00      1.05     0.00   173526     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::cbegin() const
  0.00      1.05     0.00   173526     0.00     0.00  Node** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Node*>(Node* const*, Node* const*, Node**)
  0.00      1.05     0.00   173526     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_M_erase(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >)
  0.00      1.05     0.00   173526     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**)
  0.00      1.05     0.00   173526     0.00     0.00  Node** std::__copy_move_a1<true, Node**, Node**>(Node**, Node**, Node**)
  0.00      1.05     0.00   173526     0.00     0.00  Node** std::__copy_move_a2<true, Node**, Node**>(Node**, Node**, Node**)
  0.00      1.05     0.00   149291     0.00     0.00  Node** std::__niter_base<Node**>(Node**)
  0.00      1.05     0.00    96360     0.00     0.00  Voiture::getIs_pathfind()
  0.00      1.05     0.00    95306     0.00     0.00  Environnement::Astar(Voiture&, unsigned int, unsigned int)::{lambda(Node*, Node*)#2}::operator()(Node*, Node*) const
  0.00      1.05     0.00    74629     0.00     0.00  __gnu_cxx::new_allocator<Node*>::_M_max_size() const
  0.00      1.05     0.00    49928     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.05     0.00    49803     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() const
  0.00      1.05     0.00    49744     0.00     0.00  __gnu_cxx::new_allocator<Node*>::max_size() const
  0.00      1.05     0.00    49744     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::max_size() const
  0.00      1.05     0.00    49744     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::max_size(std::allocator<Node*> const&)
  0.00      1.05     0.00    49744     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_S_max_size(std::allocator<Node*> const&)
  0.00      1.05     0.00    49744     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_S_relocate(Node**, Node**, Node**, std::allocator<Node*>&)
  0.00      1.05     0.00    49744     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_S_do_relocate(Node**, Node**, Node**, std::allocator<Node*>&, std::integral_constant<bool, true>)
  0.00      1.05     0.00    49744     0.00     0.00  Node** std::__relocate_a<Node**, Node**, std::allocator<Node*> >(Node**, Node**, Node**, std::allocator<Node*>&)
  0.00      1.05     0.00    49744     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Node*, void>::value, Node**>::type std::__relocate_a_1<Node*, Node*>(Node**, Node**, Node**, std::allocator<Node*>&)
  0.00      1.05     0.00    48028     0.00     0.00  Node*&& std::forward<Node*>(std::remove_reference<Node*>::type&)
  0.00      1.05     0.00    32500     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.05     0.00    32441     0.00     0.00  __gnu_cxx::new_allocator<Node*>::new_allocator()
  0.00      1.05     0.00    32441     0.00     0.00  std::allocator<Node*>::allocator()
  0.00      1.05     0.00    32441     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl::_Vector_impl()
  0.00      1.05     0.00    32441     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_base()
  0.00      1.05     0.00    32441     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::vector()
  0.00      1.05     0.00    25372     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_deallocate(Node**, unsigned long)
  0.00      1.05     0.00    24964     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.05     0.00    24931     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_allocate(unsigned long)
  0.00      1.05     0.00    24885     0.00     0.00  __gnu_cxx::new_allocator<Node*>::allocate(unsigned long, void const*)
  0.00      1.05     0.00    24885     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::allocate(std::allocator<Node*>&, unsigned long)
  0.00      1.05     0.00    24872     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&)
  0.00      1.05     0.00    24872     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const
