Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00    1296/13047899     void __gnu_cxx::new_allocator<Place>::construct<Place, Place const&>(Place*, Place const&) [107]
                0.00    0.00    2042/13047899     void __gnu_cxx::new_allocator<Place>::construct<Place, Place>(Place*, Place&&) [98]
                0.00    0.00    2376/13047899     void std::_Construct<Place, Place const&>(Place*, Place const&) [92]
                0.00    0.00   16000/13047899     void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node*>(Node**, Node*&&) [71]
                0.01    0.00 13025878/13047899     void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node* const&>(Node**, Node* const&) [18]
[36]     1.0    0.01    0.00 13047899         operator new(unsigned long, void*) [36]
-----------------------------------------------
                0.00    0.00  224196/6737381     Environnement::Environnement_play() [6]
                0.00    0.00  673484/6737381     Affichage::AffichageSimulation() [2]
                0.00    0.00 2511657/6737381     Affichage::AffichagePlateau() [3]
                0.00    0.00 3328044/6737381     Environnement::updateStateVoiture() [7]
[37]     1.0    0.01    0.00 6737381         std::vector<Voiture, std::allocator<Voiture> >::operator[](unsigned long) [37]
-----------------------------------------------
                0.00    0.00  448392/1793568     Affichage::AffichagePlateau() [3]
                0.01    0.00 1345176/1793568     Environnement::updateStateVoiture() [7]
[38]     1.0    0.01    0.00 1793568         Voiture::get_position() [38]
-----------------------------------------------
                0.00    0.00     118/1253652     Node* const* std::__niter_base<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >) [116]
                0.00    0.00  347052/1253652     __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&) [57]
                0.01    0.00  906482/1253652     bool __gnu_cxx::operator==<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&) [28]
[39]     1.0    0.01    0.00 1253652         __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::base() const [39]
-----------------------------------------------
                0.00    0.00  173526/1080126     std::vector<Node*, std::allocator<Node*> >::cbegin() const [59]
                0.00    0.00  453300/1080126     std::vector<Node*, std::allocator<Node*> >::begin() const [33]
                0.00    0.00  453300/1080126     std::vector<Node*, std::allocator<Node*> >::end() const [54]
[40]     1.0    0.01    0.00 1080126         __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node* const* const&) [40]
-----------------------------------------------
                0.00    0.00   16000/449020      Environnement::initNodes() [62]
                0.01    0.00  433020/449020      Environnement::updateStateVoiture() [7]
[41]     1.0    0.01    0.00  449020         Node::setisObstacle(bool) [41]
-----------------------------------------------
                0.01    0.00  281876/281876      Affichage::AffichagePlateau() [3]
[42]     1.0    0.01    0.00  281876         Image::draw(SDL_Renderer*, int, int, int, int, int) [42]
-----------------------------------------------
                0.01    0.00  224196/224196      Affichage::AffichagePlateau() [3]
[43]     1.0    0.01    0.00  224196         Voiture::getwidth() [43]
-----------------------------------------------
                0.00    0.00     406/216916      Affichage::AffichageSimulation() [2]
                0.01    0.00  216510/216916      Environnement::updateStateVoiture() [7]
[44]     1.0    0.01    0.00  216916         Environnement::GetNodeIndbyPos(Vec2) [44]
-----------------------------------------------
                0.00    0.00      56/3290303     void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00      59/3290303     std::vector<Node*, std::allocator<Node*> >::vector(std::vector<Node*, std::allocator<Node*> > const&) [80]
                0.00    0.00     500/3290303     std::vector<Node*, std::allocator<Node*> >::~vector() [105]
                0.00    0.00   49688/3290303     void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
                0.01    0.00 3240000/3290303     std::vector<Node*, std::allocator<Node*> >::_M_erase_at_end(Node**) [27]
[45]     1.0    0.01    0.00 3290303         std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() [45]
-----------------------------------------------
                0.00    0.01   95306/95306       Environnement::Astar(Voiture&, unsigned int, unsigned int) [4]
[46]     0.8    0.00    0.01   95306         Environnement::Astar(Voiture&, unsigned int, unsigned int)::{lambda(Node*, Node*)#2}::operator()(Node*, Node*) const [46]
                0.00    0.01   95306/272348      Environnement::Astar(Voiture&, unsigned int, unsigned int)::{lambda(Node*, Node*)#1}::operator()(Node*, Node*) const [20]
-----------------------------------------------
                0.01    0.00  173526/173526      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::move<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [21]
[47]     0.7    0.01    0.00  173526         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [47]
                0.00    0.00  173526/173526      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**) [58]
                0.00    0.00  520578/694104      Node** std::__niter_base<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [60]
                0.00    0.00  173526/173526      Node** std::__copy_move_a1<true, Node**, Node**>(Node**, Node**, Node**) [189]
-----------------------------------------------
                0.00    0.00      28/824759      void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00   24844/824759      void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
                0.00    0.00  173526/824759      std::vector<Node*, std::allocator<Node*> >::erase(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >) [11]
                0.00    0.00  266629/824759      Environnement::Astar(Voiture&, unsigned int, unsigned int) [4]
                0.00    0.00  359732/824759      std::vector<Node*, std::allocator<Node*> >::front() [34]
[48]     0.6    0.00    0.01  824759         std::vector<Node*, std::allocator<Node*> >::begin() [48]
                0.01    0.00  824759/2015890     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&) [29]
-----------------------------------------------
                0.00    0.00  173526/694104      std::vector<Node*, std::allocator<Node*> >::erase(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >) [11]
                0.00    0.00  173526/694104      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**) [58]
                0.00    0.00  347052/694104      std::vector<Node*, std::allocator<Node*> >::_M_erase(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [17]
[49]     0.5    0.00    0.01  694104         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator+(long) const [49]
                0.01    0.00  694104/2015890     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&) [29]
-----------------------------------------------
                0.00    0.00   24844/26076600     void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
                0.00    0.00 13025878/26076600     void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node* const&>(std::allocator<Node*>&, Node**, Node* const&) [13]
                0.00    0.00 13025878/26076600     void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node* const&>(Node**, Node* const&) [18]
[50]     0.5    0.01    0.00 26076600         Node* const& std::forward<Node* const&>(std::remove_reference<Node* const&>::type&) [50]
-----------------------------------------------
                0.00    0.00      56/2244992     void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00   49688/2244992     void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
                0.00    0.00   49744/2244992     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [70]
                0.00    0.00  173526/2244992     __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator<Node**>(__gnu_cxx::__normal_iterator<Node**, __gnu_cxx::__enable_if<std::__are_same<Node**, Node**>::__value, std::vector<Node*, std::allocator<Node*> > >::__type> const&) [35]
                0.00    0.00  694104/2244992     Node** std::__niter_base<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [60]
                0.00    0.00 1277874/2244992     bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [56]
[51]     0.5    0.01    0.00 2244992         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [51]
-----------------------------------------------
                0.01    0.00  347052/347052      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::move<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [21]
[52]     0.5    0.01    0.00  347052         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__miter_base<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [52]
-----------------------------------------------
                0.01    0.00  224224/224224      Affichage::AffichageSimulation() [2]
[53]     0.5    0.01    0.00  224224         Voiture::getIs_in() [53]
-----------------------------------------------
                0.00    0.00      59/453300      std::vector<Node*, std::allocator<Node*> >::vector(std::vector<Node*, std::allocator<Node*> > const&) [80]
                0.00    0.00  453241/453300      std::vector<Node*, std::allocator<Node*> >::empty() const [9]
[54]     0.4    0.00    0.00  453300         std::vector<Node*, std::allocator<Node*> >::end() const [54]
                0.00    0.00  453300/1080126     __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node* const* const&) [40]
-----------------------------------------------
                0.00    0.00      28/481027      Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&) [63]
                0.00    0.00   16000/481027      std::vector<Node*, std::allocator<Node*> >::back() [65]
                0.00    0.00   24844/481027      std::vector<Node*, std::allocator<Node*> >::push_back(Node* const&) [8]
                0.00    0.00   93103/481027      Environnement::Astar(Voiture&, unsigned int, unsigned int) [4]
                0.00    0.00  347052/481027      std::vector<Node*, std::allocator<Node*> >::_M_erase(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [17]
[55]     0.3    0.00    0.00  481027         std::vector<Node*, std::allocator<Node*> >::end() [55]
                0.00    0.00  481027/2015890     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&) [29]
-----------------------------------------------
                0.00    0.00  173526/638937      std::vector<Node*, std::allocator<Node*> >::_M_erase(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [17]
                0.00    0.00  465411/638937      Environnement::Astar(Voiture&, unsigned int, unsigned int) [4]
[56]     0.3    0.00    0.00  638937         bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [56]
                0.00    0.00 1277874/2244992     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [51]
-----------------------------------------------
                0.00    0.00  173526/173526      std::vector<Node*, std::allocator<Node*> >::erase(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >) [11]
[57]     0.3    0.00    0.00  173526         __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > const&) [57]
                0.00    0.00  347052/1253652     __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::base() const [39]
-----------------------------------------------
                0.00    0.00  173526/173526      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [47]
[58]     0.2    0.00    0.00  173526         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**) [58]
                0.00    0.00  173526/694104      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator+(long) const [49]
                0.00    0.00  173526/694104      Node** std::__niter_base<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [60]
-----------------------------------------------
                0.00    0.00  173526/173526      std::vector<Node*, std::allocator<Node*> >::erase(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >) [11]
[59]     0.2    0.00    0.00  173526         std::vector<Node*, std::allocator<Node*> >::cbegin() const [59]
                0.00    0.00  173526/1080126     __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node* const* const&) [40]
-----------------------------------------------
                0.00    0.00  173526/694104      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**) [58]
                0.00    0.00  520578/694104      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [47]
[60]     0.1    0.00    0.00  694104         Node** std::__niter_base<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [60]
                0.00    0.00  694104/2244992     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [51]
-----------------------------------------------
                0.00    0.00       1/2           main [1]
                0.00    0.00       1/2           Affichage::Affichage() [67]
[61]     0.1    0.00    0.00       2         Environnement::Environnement() [61]
                0.00    0.00       2/2           Environnement::initNodes() [62]
                0.00    0.00       2/2           Environnement::initParkings() [73]
                0.00    0.00       6/32441       std::vector<Node*, std::allocator<Node*> >::vector() [210]
                0.00    0.00       2/17468       Vec2::Vec2() [217]
                0.00    0.00       2/2           std::vector<Conversation*, std::allocator<Conversation*> >::vector() [604]
                0.00    0.00       2/2           std::vector<Voiture, std::allocator<Voiture> >::vector() [603]
                0.00    0.00       2/2           std::vector<Parking, std::allocator<Parking> >::vector() [601]
                0.00    0.00       2/2           std::vector<Utilisateur, std::allocator<Utilisateur> >::vector() [599]
-----------------------------------------------
                0.00    0.00       2/2           Environnement::Environnement() [61]
[62]     0.1    0.00    0.00       2         Environnement::initNodes() [62]
                0.00    0.00   16000/16000       std::vector<Node*, std::allocator<Node*> >::push_back(Node*&&) [64]
                0.00    0.00   16000/449020      Node::setisObstacle(bool) [41]
                0.00    0.00   80000/46478936     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [14]
                0.00    0.00   16000/16000       Node::Node() [221]
                0.00    0.00   16000/233952      Vec2::Vec2(float, float) [177]
                0.00    0.00   16000/16000       Node::setNodepos(Vec2) [220]
                0.00    0.00   16000/5012234     Vec2::~Vec2() [161]
                0.00    0.00   16000/6605103     Node::setisVisited(bool) [160]
                0.00    0.00   16000/3358900     Node::setParent(Node*) [162]
                0.00    0.00       2/2           Environnement::getMap() [559]
-----------------------------------------------
                0.00    0.00   16000/16000       std::vector<Node*, std::allocator<Node*> >::push_back(Node*&&) [64]
[63]     0.1    0.00    0.00   16000         Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&) [63]
                0.00    0.00   16000/16000       std::vector<Node*, std::allocator<Node*> >::back() [65]
                0.00    0.00   15972/16000       void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*>(std::allocator<Node*>&, Node**, Node*&&) [72]
                0.00    0.00      28/28          void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00      28/481027      std::vector<Node*, std::allocator<Node*> >::end() [55]
                0.00    0.00   16000/48028       Node*&& std::forward<Node*>(std::remove_reference<Node*>::type&) [204]
-----------------------------------------------
                0.00    0.00   16000/16000       Environnement::initNodes() [62]
[64]     0.1    0.00    0.00   16000         std::vector<Node*, std::allocator<Node*> >::push_back(Node*&&) [64]
                0.00    0.00   16000/16000       Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&) [63]
                0.00    0.00   16000/16000       std::remove_reference<Node*&>::type&& std::move<Node*&>(Node*&) [222]
-----------------------------------------------
                0.00    0.00   16000/16000       Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&) [63]
[65]     0.1    0.00    0.00   16000         std::vector<Node*, std::allocator<Node*> >::back() [65]
                0.00    0.00   16000/748040      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator*() const [25]
                0.00    0.00   16000/481027      std::vector<Node*, std::allocator<Node*> >::end() [55]
                0.00    0.00   16000/16000       __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator-(long) const [69]
-----------------------------------------------
                0.00    0.00   24844/24844       std::vector<Node*, std::allocator<Node*> >::push_back(Node* const&) [8]
[66]     0.1    0.00    0.00   24844         void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
                0.00    0.00   24844/824759      std::vector<Node*, std::allocator<Node*> >::begin() [48]
                0.00    0.00   49688/3290303     std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() [45]
                0.00    0.00   49688/2244992     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [51]
                0.00    0.00   24844/24872       __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [70]
                0.00    0.00   24844/13025878     void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node* const&>(std::allocator<Node*>&, Node**, Node* const&) [13]
                0.00    0.00   24844/26076600     Node* const& std::forward<Node* const&>(std::remove_reference<Node* const&>::type&) [50]
                0.00    0.00   49688/49744       std::vector<Node*, std::allocator<Node*> >::_S_relocate(Node**, Node**, Node**, std::allocator<Node*>&) [200]
                0.00    0.00   24844/24872       std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const [216]
                0.00    0.00   24844/24931       std::_Vector_base<Node*, std::allocator<Node*> >::_M_allocate(unsigned long) [213]
                0.00    0.00   24844/25372       std::_Vector_base<Node*, std::allocator<Node*> >::_M_deallocate(Node**, unsigned long) [211]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[67]     0.1    0.00    0.00       1         Affichage::Affichage() [67]
                0.00    0.00       1/2           Environnement::Environnement() [61]
                0.00    0.00       6/6           Image::Image() [511]
                0.00    0.00       1/1           std::vector<SDL_Rect, std::allocator<SDL_Rect> >::vector() [632]
-----------------------------------------------
                0.00    0.00  224196/224196      Environnement::Environnement_play() [6]
[68]     0.0    0.00    0.00  224196         Voiture::MoveToTargetPosition() [68]
                0.00    0.00   20524/2976962     Node::getNodepos() [19]
                0.00    0.00    7770/46478936     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [14]
                0.00    0.00  231966/944536      std::vector<Node*, std::allocator<Node*> >::size() const [169]
                0.00    0.00   20524/5012234     Vec2::~Vec2() [161]
                0.00    0.00    3172/3172        Voiture::MoveRight() [230]
                0.00    0.00    2590/2590        std::vector<Node*, std::allocator<Node*> >::pop_back() [231]
                0.00    0.00    1304/1304        Voiture::MoveDown() [240]
                0.00    0.00     368/368         Voiture::MoveUp() [251]
                0.00    0.00     336/336         Voiture::MoveLeft() [252]
-----------------------------------------------
                0.00    0.00   16000/16000       std::vector<Node*, std::allocator<Node*> >::back() [65]
[69]     0.0    0.00    0.00   16000         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator-(long) const [69]
                0.00    0.00   16000/2015890     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&) [29]
-----------------------------------------------
                0.00    0.00      28/24872       void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00   24844/24872       void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&) [66]
[70]     0.0    0.00    0.00   24872         __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [70]
                0.00    0.00   49744/2244992     __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [51]
-----------------------------------------------
                0.00    0.00   16000/16000       void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*>(std::allocator<Node*>&, Node**, Node*&&) [72]
[71]     0.0    0.00    0.00   16000         void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node*>(Node**, Node*&&) [71]
                0.00    0.00   16000/13047899     operator new(unsigned long, void*) [36]
                0.00    0.00   16000/48028       Node*&& std::forward<Node*>(std::remove_reference<Node*>::type&) [204]
-----------------------------------------------
                0.00    0.00      28/16000       void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&&) [122]
                0.00    0.00   15972/16000       Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&) [63]
[72]     0.0    0.00    0.00   16000         void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*>(std::allocator<Node*>&, Node**, Node*&&) [72]
                0.00    0.00   16000/16000       void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node*>(Node**, Node*&&) [71]
                0.00    0.00   16000/48028       Node*&& std::forward<Node*>(std::remove_reference<Node*>::type&) [204]
-----------------------------------------------
                0.00    0.00       2/2           Environnement::Environnement() [61]
[73]     0.0    0.00    0.00       2         Environnement::initParkings() [73]
                0.00    0.00       6/6           Parking::Parking(Vec2, int, float, float, int, int, int) [77]
                0.00    0.00       6/6           std::vector<Parking, std::allocator<Parking> >::push_back(Parking const&) [84]
                0.00    0.00       6/233952      Vec2::Vec2(float, float) [177]
                0.00    0.00       6/5012234     Vec2::~Vec2() [161]
                0.00    0.00       6/18          Parking::~Parking() [381]
-----------------------------------------------
                0.00    0.00      28/28          Affichage::AffichageSimulation() [2]
[74]     0.0    0.00    0.00      28         Environnement::AddVoiture() [74]
